08	8e
09	8f
0d	9c
14	ba
1b	81
20	b9
2c	d4
31	82
32	83
33	84
34	85
35	86
36	87
37	88
38	89
39	8a
3a	8b
41	9e
42	b0
43	ae
44	a0
45	92
46	a1
47	a2
48	a3
49	97
4a	a4
4b	a5
4c	a6
4d	b2
4e	b1
4f	98
50	99
51	90
52	93
53	9f
54	94
55	96
56	af
57	91
58	ad
59	95
5a	ac
60	d2
61	cf
62	d0
63	d1
64	cb
65	cc
66	cd
67	c7
68	c8
69	c9
6a	b7
6b	ce
6d	ca
6e	d3
6f	ab
70	bb
71	bc
72	bd
73	be
74	bf
75	c0
76	c1
77	c2
78	c3
79	c4
7a	d7
7b	d8
90	c5
91	c6
a0	aa
a1	b6
a2	9d
a4	b8
ba	a7
bb	8d
bc	b3
bd	8c
be	b4
bf	b5
c0	a9
db	9a
dd	9b
de	a8
